TeamName,City,Division,Division
Arizona Diamondbacks,Phoenix,Arizona,NL West
Atlanta Braves,Atlanta,Georgia,NL East
Baltimore Orioles,Baltimore,Maryland,AL East
Boston Red Sox,Boston,Massachusetts,AL East
Chicago White Sox,Chicago,Illinois,AL Central
Chicago Cubs,Chicago,Illinois,NL Central
Cincinnati Reds,Cincinnati,Ohio,NL Central
Cleveland Indians,Cleveland,Ohio,AL Central
Colorado Rockies,Denver,Colorado,NL West
Detroit Tigers,Detroit,Michigan,AL Central
Houston Astros,Houston,Texas,AL West
Kansas City Royals,Kansas City,Kansas,AL Central
Los Angeles Angels,Anaheim,California,AL West
Los Angeles Dodgers,Los Angeles,California,NL West
Miami Marlins,Miami,Florida,NL East
Milwaukee Brewers,Milwaukee,Wisconsin,NL Central
Minnesota Twins,Minneapolis,Minnesota,AL Central
New York Yankees,New York City,New York,AL East
New York Mets,New York City,New York,NL East
Oakland Athletics,Oakland,California,AL West
Philadelphia Phillies,Philadelphia,Pennsylvania,NL East
Pittsburgh Pirates,Pittsburgh,Pennsylvania,NL Central
San Diego Padres,San Diego,California,NL West
San Francisco Giants,San Francisco,California,NL West
Seattle Mariners,Seattle,Washington,AL West
St. Louis Cardinals,St. Louis,Missouri,NL Central
Tampa Bay Rays,Tampa Bay,Florida,AL East
Texas Rangers,Arlington,Texas,AL West
Toronto Blue Jays,Toronto,Canada,AL East
Washington Nationals,Washington,D.C.,NL East
